claim_number,reimbursement_number,amount_approved,reimbursement_date
Claim-0002911,Reimbursement-0002597,687679.78,7/4/2020
Claim-000932,Reimbursement-0003506,610425.45,10/8/2019
Claim-0001395,Reimbursement-0001444,648577.04,11/13/2018
Claim-0002400,Reimbursement-0003118,559859.45,2/26/2019
Claim-0001092,Reimbursement-0001131,677551.41,10/12/2018
Claim-0002383,Reimbursement-000614,684898.53,7/1/2020
Claim-0003464,Reimbursement-0002879,575279.5,7/6/2020
Claim-0001141,Reimbursement-0002759,655902.86,11/10/2019
Claim-0001974,Reimbursement-0002269,589505.22,5/30/2019
Claim-0002664,Reimbursement-000280,566119.89,3/31/2019
Claim-0003444,Reimbursement-00083,656598.85,2/5/2019
Claim-0001220,Reimbursement-0002936,740585.44,12/27/2020
Claim-0003239,Reimbursement-0001711,656970.95,10/27/2020
Claim-0001258,Reimbursement-0001158,557127.75,1/24/2020
Claim-0002838,Reimbursement-0002093,509380.96,9/24/2020
Claim-0001350,Reimbursement-0001605,460641,3/3/2020
Claim-0001884,Reimbursement-0001911,552007.81,11/12/2019
Claim-0001488,Reimbursement-000683,558264.96,11/11/2018
Claim-0003093,Reimbursement-000510,514356.48,7/13/2020
Claim-0003517,Reimbursement-0003120,501497.57,9/23/2018
Claim-0001535,Reimbursement-0003240,794299.76,3/19/2019
Claim-0002470,Reimbursement-000380,584319.65,12/16/2018
Claim-0003386,Reimbursement-000136,659937.48,8/29/2018
Claim-0001545,Reimbursement-0001880,754453.39,12/16/2018
Claim-0002763,Reimbursement-0001512,646674.34,9/8/2018
Claim-0003224,Reimbursement-0001518,754453.39,3/6/2019
Claim-0003579,Reimbursement-000175,502152.42,12/29/2020
Claim-0001687,Reimbursement-0003473,662262.81,9/17/2018
Claim-0001886,Reimbursement-0001308,680136.16,4/5/2021
Claim-0003415,Reimbursement-0001623,727903.86,7/18/2020
Claim-0001704,Reimbursement-0001043,491163.2,6/3/2019
Claim-0001834,Reimbursement-00076,617336.97,6/23/2019
Claim-0001965,Reimbursement-0003345,709536.64,12/6/2021
Claim-0003092,Reimbursement-0001767,589276.2,9/21/2020
Claim-0001840,Reimbursement-0002507,512265.6,6/12/2019
Claim-0002755,Reimbursement-0002240,658545.89,7/5/2021
Claim-0002251,Reimbursement-0003550,441880.38,1/5/2019
Claim-0002385,Reimbursement-0002919,691198.27,2/6/2021
Claim-0002515,Reimbursement-0003525,494019.19,3/10/2019
Claim-0002646,Reimbursement-0001788,470494.46,9/23/2018
Claim-0003293,Reimbursement-0003478,463125.27,5/27/2019
Claim-0002678,Reimbursement-0003521,528549.78,2/25/2019
Claim-0002724,Reimbursement-0003342,446023.42,3/11/2019
Claim-0002932,Reimbursement-000449,725148.55,8/15/2019
Claim-0003600,Reimbursement-000457,617572.77,11/2/2018
Claim-00011,Reimbursement-0001466,1141115.29,7/25/2018
Claim-000289,Reimbursement-000495,797982.72,4/5/2019
Claim-0003499,Reimbursement-000250,1151339.44,3/31/2019
Claim-00012,Reimbursement-000308,1149786.38,6/26/2018
Claim-0002205,Reimbursement-0002071,817779.79,7/6/2019
Claim-0002795,Reimbursement-000799,1144245.25,5/27/2019
Claim-00018,Reimbursement-0001961,1071766.55,3/26/2020
Claim-00061,Reimbursement-0003517,1098804.97,11/1/2019
Claim-0002102,Reimbursement-0001005,1023597.27,9/3/2019
Claim-0002406,Reimbursement-0003201,699817.89,9/30/2018
Claim-00047,Reimbursement-000632,1104109.57,2/9/2019
Claim-0001026,Reimbursement-0003039,1094752.71,3/13/2019
Claim-0002525,Reimbursement-0002547,834097.31,3/24/2019
Claim-0002530,Reimbursement-0003224,756791.81,7/23/2019
Claim-00075,Reimbursement-0001364,1132873.26,4/22/2019
Claim-00080,Reimbursement-000759,815136.96,10/31/2018
Claim-000154,Reimbursement-000792,926510.75,6/9/2019
Claim-000567,Reimbursement-0001228,1204609.19,7/15/2019
Claim-0002731,Reimbursement-0001356,853900.19,9/21/2018
Claim-0003109,Reimbursement-0001600,1170482.23,10/1/2019
Claim-0003250,Reimbursement-0002788,1073910.18,6/22/2019
Claim-000157,Reimbursement-0002959,899875.87,1/11/2020
Claim-000818,Reimbursement-0001190,884088.58,11/9/2020
Claim-000822,Reimbursement-0002746,791118.94,9/9/2019
Claim-000906,Reimbursement-0002057,833218.4,6/2/2019
Claim-0002132,Reimbursement-0001265,756474.6,12/3/2020
Claim-0002216,Reimbursement-000990,827298.16,4/4/2019
Claim-000183,Reimbursement-0002852,910443.52,8/20/2019
Claim-0001858,Reimbursement-0001983,1074306.24,6/11/2020
Claim-0003344,Reimbursement-0001459,764122.24,5/4/2020
Claim-000197,Reimbursement-000240,1035397.25,4/27/2019
Claim-0002218,Reimbursement-000964,871913.47,2/14/2019
Claim-0002994,Reimbursement-0002911,708429.7,11/17/2019
Claim-0003188,Reimbursement-0002028,1093070.69,6/10/2019
Claim-000257,Reimbursement-0002709,972333.78,12/1/2019
Claim-0002951,Reimbursement-0002737,864296.7,6/1/2019
Claim-0003480,Reimbursement-0001015,718722.92,2/20/2019
Claim-000287,Reimbursement-0002630,1136190.24,9/3/2021
Claim-000368,Reimbursement-0001652,831720.96,9/28/2020
Claim-0002104,Reimbursement-0003134,893109.89,3/28/2022
Claim-0003650,Reimbursement-0003584,1154507.9,8/22/2021
Claim-000302,Reimbursement-000823,801466.56,11/23/2021
Claim-0002035,Reimbursement-0002383,1079976.19,5/16/2019
Claim-0002203,Reimbursement-0001679,874266.44,12/13/2019
Claim-0002529,Reimbursement-000882,957307.28,6/16/2020
Claim-000324,Reimbursement-0003096,1047828.14,10/31/2019
Claim-0002990,Reimbursement-0003450,992384.2,1/17/2019
Claim-000342,Reimbursement-000226,1013016.33,7/12/2019
Claim-0002055,Reimbursement-000970,960826.26,10/21/2019
Claim-0003484,Reimbursement-0002771,818446,4/27/2019
Claim-0003514,Reimbursement-000864,817002.96,2/21/2019
Claim-000363,Reimbursement-000530,722805.12,3/2/2021
Claim-000490,Reimbursement-0003387,1036020.67,12/7/2018
Claim-0002648,Reimbursement-0003475,1199321.09,7/30/2020
Claim-0003276,Reimbursement-0001906,1183928.02,7/24/2019
Claim-000365,Reimbursement-0003247,1173122.61,9/21/2019
Claim-0001157,Reimbursement-0003227,940942.09,2/7/2019
Claim-000381,Reimbursement-0001556,1031309.24,4/30/2019
Claim-0001587,Reimbursement-000532,707159.62,2/23/2020
Claim-0002127,Reimbursement-0001021,1056773.66,9/30/2019
Claim-0003641,Reimbursement-0002858,743060.29,2/24/2019
Claim-000393,Reimbursement-0001242,938715.19,6/21/2019
Claim-000725,Reimbursement-0001484,867074.3,6/12/2021
Claim-0002072,Reimbursement-0003143,763903.43,6/30/2020
Claim-0002369,Reimbursement-0003504,782262.66,9/8/2020
Claim-0002600,Reimbursement-000458,983415.91,11/6/2020
Claim-000399,Reimbursement-000311,828626.76,10/3/2020
Claim-000412,Reimbursement-0002901,753796.63,8/31/2020
Claim-0001425,Reimbursement-0003206,655273.02,7/7/2020
Claim-0001698,Reimbursement-000486,955901.52,10/27/2019
Claim-0002896,Reimbursement-0003258,928994.66,6/21/2019
Claim-000425,Reimbursement-0001868,763979.83,11/16/2019
Claim-0001325,Reimbursement-0001458,959416.53,3/17/2019
Claim-0002091,Reimbursement-0002794,982816.93,1/21/2019
Claim-0002485,Reimbursement-000775,977183.5,2/24/2019
Claim-0002748,Reimbursement-0002992,857148.1,11/15/2018
Claim-000457,Reimbursement-0001157,737987.33,7/27/2019
Claim-000654,Reimbursement-0002402,891496.32,8/22/2019
Claim-0001047,Reimbursement-0003374,746568.58,12/11/2018
Claim-0001808,Reimbursement-0002704,768307.74,11/9/2019
Claim-0002172,Reimbursement-0003232,832953.14,9/7/2019
Claim-000474,Reimbursement-0002100,1059087.36,3/25/2019
Claim-000809,Reimbursement-0001559,859637.52,11/12/2019
Claim-000493,Reimbursement-0003095,1005118.4,1/13/2019
Claim-000737,Reimbursement-000147,886182.7,11/19/2018
Claim-000983,Reimbursement-0003007,876002.4,7/11/2019
Claim-0001238,Reimbursement-0001877,961169.3,3/9/2019
Claim-0001891,Reimbursement-0001997,1196557.7,10/7/2019
Claim-0002640,Reimbursement-00031,1181908,4/22/2019
Claim-0003405,Reimbursement-000235,1098479.2,10/12/2019
Claim-000497,Reimbursement-0001259,1068799.94,11/6/2019
Claim-0002411,Reimbursement-0001583,868943.04,1/28/2019
Claim-0003554,Reimbursement-0002554,1009629.06,2/23/2019
Claim-000502,Reimbursement-0003036,790929.47,4/10/2021
Claim-000832,Reimbursement-0001143,737830.56,9/11/2019
Claim-0002327,Reimbursement-0001214,1159733.66,12/30/2018
Claim-000552,Reimbursement-000290,940497.45,4/5/2019
Claim-0002227,Reimbursement-0001148,1130974.87,4/24/2019
Claim-000607,Reimbursement-0002184,1042218.24,12/18/2020
Claim-0001795,Reimbursement-0001947,764122.24,7/5/2020
Claim-0001978,Reimbursement-000910,754709.76,1/25/2021
Claim-0002261,Reimbursement-000109,884773.12,1/2/2021
Claim-000641,Reimbursement-000736,933207.05,12/12/2020
Claim-0001219,Reimbursement-0001361,1054297.08,3/12/2019
Claim-0001854,Reimbursement-0002689,982530.89,6/16/2018
Claim-000661,Reimbursement-000621,742529.16,8/16/2019
Claim-0001082,Reimbursement-0002062,830925.48,12/26/2018
Claim-0002913,Reimbursement-000873,862403.2,3/15/2019
Claim-000694,Reimbursement-0002676,961528.84,6/9/2019
Claim-000907,Reimbursement-0002539,693793.9,1/17/2019
Claim-0001348,Reimbursement-000243,1029749.76,4/30/2018
Claim-0001926,Reimbursement-00099,669337.34,2/5/2019
Claim-0003114,Reimbursement-0001166,1094109.12,7/28/2018
Claim-000697,Reimbursement-0002511,763378.41,11/9/2019
Claim-0001159,Reimbursement-0002618,899160.77,4/1/2021
Claim-0001483,Reimbursement-0001040,1182532.65,5/16/2021
Claim-000852,Reimbursement-0002520,1191797.83,6/23/2019
Claim-000927,Reimbursement-0001510,1284224.1,1/19/2019
Claim-0002544,Reimbursement-0002627,957568.26,10/6/2021
Claim-0002871,Reimbursement-0002952,955235.01,10/12/2021
Claim-000930,Reimbursement-0001230,1032668.85,1/23/2019
Claim-0001440,Reimbursement-0002672,840390.22,11/30/2018
Claim-0002405,Reimbursement-0003583,837489.47,10/23/2018
Claim-0002571,Reimbursement-0002944,1140411.19,5/1/2019
Claim-0002682,Reimbursement-000908,842669.39,8/16/2018
Claim-0003037,Reimbursement-0003601,992058.28,9/18/2018
Claim-0003151,Reimbursement-000241,1053388.53,12/31/2018
Claim-000982,Reimbursement-0001413,1263297.68,7/9/2021
Claim-0002474,Reimbursement-000560,1109740.56,12/4/2019
Claim-0002523,Reimbursement-000341,1240328.64,5/12/2020
Claim-0002577,Reimbursement-0002376,1199552.12,2/27/2019
Claim-0003183,Reimbursement-000193,1121354.12,3/31/2021
Claim-0001005,Reimbursement-0002165,1155087.78,3/12/2019
Claim-0001824,Reimbursement-000903,1203762.07,6/6/2019
Claim-0003153,Reimbursement-0002532,1217598.41,3/7/2019
Claim-0003357,Reimbursement-0001044,1029078.2,1/22/2019
Claim-0001013,Reimbursement-0003560,1244853.04,2/22/2019
Claim-0001063,Reimbursement-0002814,720619.47,12/24/2019
Claim-0003073,Reimbursement-000911,781663.68,10/26/2019
Claim-0003522,Reimbursement-000496,1112195.75,10/4/2019
Claim-0001073,Reimbursement-0001655,889341.84,3/15/2021
Claim-0002765,Reimbursement-0001012,1020596.43,11/23/2019
Claim-0001205,Reimbursement-0001263,695521.15,10/16/2019
Claim-0003218,Reimbursement-0002623,861806.67,10/21/2020
Claim-0001407,Reimbursement-0002531,705129.22,3/4/2019
Claim-0001716,Reimbursement-000590,908655.15,6/4/2019
Claim-0001497,Reimbursement-000479,1179880.19,4/9/2020
Claim-0002728,Reimbursement-0001483,1038054.44,11/28/2020
Claim-0001513,Reimbursement-000887,752861.49,11/23/2018
Claim-0001733,Reimbursement-0003619,936456.19,2/6/2019
Claim-0002135,Reimbursement-0002201,805023.74,10/9/2018
Claim-0001593,Reimbursement-0002361,842871.54,8/1/2019
Claim-0002784,Reimbursement-0002429,923217.6,4/22/2019
Claim-0001612,Reimbursement-0002273,808743.97,9/26/2019
Claim-0002392,Reimbursement-0003535,1034439.96,10/2/2018
Claim-0002803,Reimbursement-0003502,887375,2/3/2019
Claim-0001670,Reimbursement-000484,751049.28,4/26/2020
Claim-0003553,Reimbursement-000691,705923.78,3/25/2019
Claim-0001875,Reimbursement-000221,750024.3,4/26/2019
Claim-0003075,Reimbursement-0002781,1116315.24,7/1/2021
Claim-0001897,Reimbursement-0001029,1222860.85,5/2/2019
Claim-0002446,Reimbursement-0002938,1383795.92,2/1/2019
Claim-0002633,Reimbursement-0001554,776419.58,6/24/2019
Claim-0003025,Reimbursement-000612,976667.04,2/6/2019
Claim-0003604,Reimbursement-000402,1048166.44,8/9/2018
Claim-0001906,Reimbursement-0003175,1051820.19,1/20/2020
Claim-0002117,Reimbursement-0003234,945120.56,11/6/2021
Claim-0002027,Reimbursement-0002049,743350.61,8/29/2019
Claim-0003295,Reimbursement-0001048,844716.6,12/8/2019
Claim-0003483,Reimbursement-0002226,979871.26,1/8/2020
Claim-0002100,Reimbursement-000960,1297553.15,2/25/2019
Claim-0003589,Reimbursement-0002786,985329.42,4/17/2019
Claim-0002103,Reimbursement-000246,869001.1,2/7/2022
Claim-0002195,Reimbursement-0003362,658073.54,7/4/2019
Claim-0002249,Reimbursement-0002895,911798.86,4/26/2019
Claim-0003128,Reimbursement-000399,1110597.77,12/17/2019
Claim-0003342,Reimbursement-00037,1010985.92,3/13/2019
Claim-0002642,Reimbursement-000314,686683.2,11/14/2020
Claim-0002694,Reimbursement-0001666,827767.72,10/11/2020
Claim-0002817,Reimbursement-000392,667526.97,1/1/2020
Claim-0002745,Reimbursement-0001211,939158.46,5/18/2019
Claim-0003460,Reimbursement-0002560,927060.83,9/13/2018
Claim-0003299,Reimbursement-0001937,859530.56,2/5/2021
Claim-0003523,Reimbursement-0003587,816054.68,8/10/2018
Claim-0003538,Reimbursement-0003396,916155.8,8/8/2018
Claim-00013,Reimbursement-0001438,489160.78,9/23/2019
Claim-00039,Reimbursement-0003453,814827.6,4/26/2019
Claim-0001623,Reimbursement-0002608,708195.84,7/23/2019
Claim-0002450,Reimbursement-0002497,974775.24,10/25/2019
Claim-00052,Reimbursement-0001489,833857.94,2/4/2019
Claim-000665,Reimbursement-0001945,619891.46,1/4/2020
Claim-000963,Reimbursement-0003359,519632.88,7/3/2019
Claim-000999,Reimbursement-0002642,706089.38,7/7/2019
Claim-0002928,Reimbursement-000920,538889.86,1/5/2020
Claim-0002980,Reimbursement-0002304,714495.21,12/9/2019
Claim-0003119,Reimbursement-0003245,557535.51,10/30/2019
Claim-000108,Reimbursement-0002260,723537.46,8/10/2019
Claim-000802,Reimbursement-000701,575915.13,5/25/2019
Claim-0003337,Reimbursement-000623,684516.27,3/21/2019
Claim-000139,Reimbursement-0001533,609919.61,6/28/2018
Claim-0002596,Reimbursement-0002278,713465.01,1/21/2019
Claim-0002741,Reimbursement-00024,754374.25,9/5/2018
Claim-0003271,Reimbursement-0001784,991021.49,1/20/2020
Claim-000223,Reimbursement-0001895,793109.77,1/1/2019
Claim-0002934,Reimbursement-0001204,682928.06,9/12/2020
Claim-0002967,Reimbursement-0001975,846910.21,4/1/2019
Claim-000224,Reimbursement-0002291,784616.8,1/19/2022
Claim-0001254,Reimbursement-0002865,630770.37,4/17/2020
Claim-000227,Reimbursement-0001421,908062.64,6/5/2020
Claim-0001143,Reimbursement-000281,564635.17,3/26/2020
Claim-000250,Reimbursement-000723,798295.44,1/5/2020
Claim-0001206,Reimbursement-000459,716052.99,7/27/2019
Claim-000345,Reimbursement-0001704,907050.38,3/5/2021
Claim-0001460,Reimbursement-00045,683859.61,4/16/2019
Claim-000362,Reimbursement-0003124,990659.71,7/27/2021
Claim-000441,Reimbursement-000453,749752.9,3/9/2020
Claim-0001149,Reimbursement-0003013,785531.14,3/15/2019
Claim-0001472,Reimbursement-0001504,887697.89,9/5/2018
Claim-0001626,Reimbursement-0003276,743591.09,9/12/2018
Claim-0002737,Reimbursement-0001186,973366.9,3/2/2021
Claim-000367,Reimbursement-0002779,850129.28,3/24/2020
Claim-0002365,Reimbursement-0003650,765776.51,6/14/2021
Claim-0002957,Reimbursement-000456,919628.63,6/11/2018
Claim-0003221,Reimbursement-0003539,750739.71,7/20/2019
Claim-0003376,Reimbursement-0002268,641081.1,6/17/2019
Claim-000382,Reimbursement-000675,716060.27,7/21/2020
Claim-0003207,Reimbursement-0001955,1064869.02,8/26/2018
Claim-000404,Reimbursement-0001629,688728.57,2/19/2020
Claim-0002782,Reimbursement-0001365,752796.35,3/6/2020
Claim-0003097,Reimbursement-0001792,820177.97,7/8/2020
Claim-0003102,Reimbursement-0003000,745616.34,2/26/2020
Claim-000407,Reimbursement-0002975,835432.81,3/12/2019
Claim-000813,Reimbursement-00014,762149.23,7/8/2019
Claim-0001037,Reimbursement-000668,505404,10/25/2019
Claim-0001825,Reimbursement-0003105,559482.23,8/23/2019
Claim-0002204,Reimbursement-000178,794663.56,3/14/2019
Claim-0002595,Reimbursement-00041,643210.82,3/11/2020
Claim-000446,Reimbursement-0002726,670279.15,12/14/2019
Claim-000447,Reimbursement-0002950,820177.97,10/14/2018
Claim-0002119,Reimbursement-0003156,915028.49,3/9/2019
Claim-0003322,Reimbursement-0001269,815838.41,3/10/2019
Claim-0003575,Reimbursement-0003457,788974.43,12/30/2018
Claim-000511,Reimbursement-0001241,532038.91,9/21/2019
Claim-0001289,Reimbursement-0002217,633371.32,1/16/2021
Claim-0001446,Reimbursement-000472,731903.53,5/4/2020
Claim-0002161,Reimbursement-0002382,755355.24,10/30/2019
Claim-0002463,Reimbursement-0003476,793858.06,8/15/2020
Claim-0002555,Reimbursement-0002187,693050.69,3/25/2021
Claim-0002701,Reimbursement-0001119,837436.25,10/8/2019
Claim-0003379,Reimbursement-000651,915141.93,5/29/2020
Claim-0003529,Reimbursement-0002508,660148.28,10/30/2021
Claim-000790,Reimbursement-000613,775776.96,11/7/2019
Claim-0002115,Reimbursement-000674,758783.75,3/23/2019
Claim-0002396,Reimbursement-0003384,643894.88,3/25/2019
Claim-0002797,Reimbursement-0002986,623392.2,10/22/2019
Claim-0001001,Reimbursement-0001675,839834.55,1/24/2020
Claim-0003506,Reimbursement-0003611,777285.9,6/29/2020
Claim-0001041,Reimbursement-000452,488290.56,8/1/2019
Claim-0002294,Reimbursement-0001644,706190.22,4/1/2019
Claim-0002481,Reimbursement-0003119,576793.22,1/5/2020
Claim-0003213,Reimbursement-0002973,557261.6,6/27/2019
Claim-0003375,Reimbursement-0001837,590526.4,4/22/2019
Claim-0003633,Reimbursement-0001829,700696.95,12/25/2018
Claim-0001064,Reimbursement-000265,1011866.56,7/12/2019
Claim-0001500,Reimbursement-0002851,779346.3,4/18/2019
Claim-0001910,Reimbursement-0001238,800984.62,10/29/2019
Claim-0002151,Reimbursement-000616,847195.27,5/1/2019
Claim-0002244,Reimbursement-000470,981976.34,4/7/2019
Claim-0001094,Reimbursement-000133,1018222.53,1/25/2019
Claim-0001599,Reimbursement-0001663,921248.96,11/27/2019
Claim-0002439,Reimbursement-0003586,1080211.97,4/19/2021
Claim-0002588,Reimbursement-0002188,991217.23,7/7/2020
Claim-0003135,Reimbursement-000618,982010.88,3/3/2020
Claim-0003208,Reimbursement-0001661,817319.47,8/3/2021
Claim-0001106,Reimbursement-000318,944129.58,6/17/2019
Claim-0001516,Reimbursement-0001858,822160.68,3/4/2019
Claim-0003233,Reimbursement-0002955,753647.29,2/27/2019
Claim-0001193,Reimbursement-000362,932292.7,10/2/2020
Claim-0001224,Reimbursement-0002882,505355.52,9/30/2021
Claim-0001739,Reimbursement-0002423,835731.69,7/29/2020
Claim-0001228,Reimbursement-00016,674370.13,12/13/2018
Claim-0001997,Reimbursement-0002896,779878.37,3/8/2019
Claim-0001264,Reimbursement-0001093,896507.67,8/6/2019
Claim-0001435,Reimbursement-0002790,703402.38,7/22/2020
Claim-0001921,Reimbursement-0003628,593984.23,10/3/2018
Claim-0002253,Reimbursement-0001891,740396.13,11/24/2020
Claim-0003230,Reimbursement-0002431,722159.78,3/17/2019
Claim-0001486,Reimbursement-0002802,582249.65,5/11/2018
Claim-0002343,Reimbursement-0001451,793402.83,10/2/2018
Claim-0003603,Reimbursement-0002670,603294.82,12/11/2018
Claim-0001514,Reimbursement-000561,660221.97,1/9/2021
Claim-0002393,Reimbursement-0002920,944725.52,3/3/2020
Claim-0003038,Reimbursement-0003161,687073.1,10/16/2019
Claim-0003132,Reimbursement-0003352,899907.82,2/4/2021
Claim-0001527,Reimbursement-000923,917990.01,5/18/2019
Claim-0002465,Reimbursement-00094,917990.01,9/18/2018
Claim-0003398,Reimbursement-000205,679215.47,10/2/2018
Claim-0001634,Reimbursement-0002255,872382.81,7/3/2019
Claim-0002120,Reimbursement-0001471,813433.32,4/2/2019
Claim-0002851,Reimbursement-0002470,929937.06,1/7/2019
Claim-0001740,Reimbursement-0001133,792684.36,9/17/2019
Claim-0001843,Reimbursement-0001770,610366.96,9/29/2019
Claim-0001763,Reimbursement-0001957,785825.89,1/11/2019
Claim-0001822,Reimbursement-0002202,701524.99,6/3/2019
Claim-0002381,Reimbursement-0002748,532333.67,1/28/2019
Claim-0002408,Reimbursement-0001621,756497.43,10/29/2019
Claim-0002898,Reimbursement-000576,551345.59,9/1/2019
Claim-0001774,Reimbursement-0002004,570638.93,5/14/2019
Claim-0001833,Reimbursement-0001641,551163.79,7/17/2019
Claim-0002124,Reimbursement-0002162,578049.83,6/29/2019
Claim-0003435,Reimbursement-0001118,858974.46,7/31/2019
Claim-0001784,Reimbursement-0001902,1023897.6,3/3/2020
Claim-0001805,Reimbursement-000700,790102.8,1/29/2019
Claim-0002845,Reimbursement-0002965,662661,10/28/2019
Claim-0001982,Reimbursement-0002544,654034.95,10/8/2019
Claim-0003006,Reimbursement-0001193,844523.54,11/11/2020
Claim-0003374,Reimbursement-0001018,920574.12,7/3/2019
Claim-0003610,Reimbursement-0002306,633030.51,2/26/2021
Claim-0002168,Reimbursement-0003208,967030.56,3/7/2019
Claim-0002323,Reimbursement-0003274,982883.52,6/30/2019
Claim-0002864,Reimbursement-0001082,840206.88,6/17/2018
Claim-0003165,Reimbursement-0003549,993782.43,6/18/2018
Claim-0002363,Reimbursement-0001355,744165.58,1/28/2021
Claim-0002391,Reimbursement-0002280,534929.41,10/1/2018
Claim-0002604,Reimbursement-000973,566983.3,7/9/2020
Claim-0002762,Reimbursement-0003184,515117.21,11/4/2020
Claim-0002710,Reimbursement-0002656,613500.83,11/24/2019
Claim-0003095,Reimbursement-000760,584459.37,2/6/2020
Claim-0003598,Reimbursement-0003422,740405.95,5/29/2019
Claim-0002849,Reimbursement-0003446,978014.19,2/28/2019
Claim-0003214,Reimbursement-0003598,933559,1/22/2019
Claim-0003033,Reimbursement-000393,668742.09,8/30/2019
Claim-0003249,Reimbursement-0001405,1019321.09,8/11/2021
Claim-0003401,Reimbursement-0001813,1023235.85,7/16/2019
Claim-0003417,Reimbursement-0003404,822547.56,11/15/2018
Claim-0003494,Reimbursement-0001152,630853.27,8/28/2018
Claim-0003636,Reimbursement-000501,753609.96,8/18/2018
Claim-00014,Reimbursement-00017,980424,11/17/2020
Claim-000793,Reimbursement-0002059,1282048.56,4/4/2019
Claim-000949,Reimbursement-0002403,1356445.44,12/20/2019
Claim-0001016,Reimbursement-00018,1027715.04,3/16/2020
Claim-0001080,Reimbursement-0002549,1005222.96,2/13/2020
Claim-0003629,Reimbursement-000660,1114223.04,6/3/2021
Claim-00015,Reimbursement-000704,984073.86,3/14/2019
Claim-0002134,Reimbursement-000367,968424.66,1/17/2020
Claim-0003316,Reimbursement-0003542,1139261.76,3/27/2019
Claim-000173,Reimbursement-0001610,1245404.16,11/12/2018
Claim-0002154,Reimbursement-0001596,1235334.24,4/22/2019
Claim-000180,Reimbursement-0002870,1130394.6,10/28/2019
Claim-000723,Reimbursement-0001984,1178822.16,5/31/2020
Claim-000258,Reimbursement-0003412,1422672.12,5/18/2020
Claim-0001300,Reimbursement-0001192,1210379.04,10/19/2019
Claim-0001496,Reimbursement-0001876,993318.48,2/2/2020
Claim-0001764,Reimbursement-00035,988831.44,1/7/2020
Claim-000271,Reimbursement-000563,1041915.6,12/21/2019
Claim-000305,Reimbursement-000754,1027080,2/15/2022
Claim-000491,Reimbursement-0003255,985083.84,3/17/2021
Claim-000312,Reimbursement-0001534,1087842.96,12/26/2018
Claim-000346,Reimbursement-0001557,1247602.5,3/18/2020
Claim-0001536,Reimbursement-0002139,1205334,4/2/2019
Claim-0002236,Reimbursement-0002625,1007899.2,11/9/2019
Claim-0002876,Reimbursement-0002967,1247875.2,12/6/2020
Claim-0003441,Reimbursement-00052,1207515.6,12/14/2020
Claim-000349,Reimbursement-0001079,742341.6,5/21/2019
Claim-000582,Reimbursement-000504,1099051.2,11/25/2020
Claim-000873,Reimbursement-0001156,1007945.64,6/8/2019
Claim-0003173,Reimbursement-0002993,1133758.08,10/7/2018
Claim-000392,Reimbursement-0002257,1133763.84,9/22/2020
Claim-0002882,Reimbursement-0002456,1096793.28,7/5/2021
Claim-000472,Reimbursement-000217,856020.96,8/6/2021
Claim-0001090,Reimbursement-0006,1303234.56,7/15/2021
Claim-0001804,Reimbursement-0002503,822769.92,3/28/2021
Claim-000499,Reimbursement-0002290,1044561.96,7/3/2020
Claim-0001185,Reimbursement-0001832,896571,5/23/2019
Claim-0003545,Reimbursement-0001482,1171216.8,7/15/2021
Claim-0003617,Reimbursement-0001004,1163045.52,6/25/2021
Claim-000504,Reimbursement-0001304,994924.8,10/23/2019
Claim-0001127,Reimbursement-0003578,1196072.64,12/20/2019
Claim-0001413,Reimbursement-0003192,1209049.92,6/28/2019
Claim-0002008,Reimbursement-00061,994924.8,7/26/2019
Claim-000625,Reimbursement-0001347,845649.18,7/6/2021
Claim-000629,Reimbursement-0003270,1128919.68,6/4/2019
Claim-000657,Reimbursement-000776,932018.4,12/10/2020
Claim-0001990,Reimbursement-0002680,1261222.56,10/9/2019
Claim-000683,Reimbursement-0002487,857894.4,12/7/2020
Claim-0001042,Reimbursement-0001077,932960.16,4/4/2021
Claim-0001279,Reimbursement-0003162,1284404.4,4/5/2019
Claim-000707,Reimbursement-0001342,1601253.36,5/24/2019
Claim-0001002,Reimbursement-0001047,1389447.36,4/10/2019
Claim-0003062,Reimbursement-0003311,1205478.72,5/31/2019
Claim-000743,Reimbursement-0002483,963689.76,9/14/2019
Claim-000840,Reimbursement-0002755,1152627.84,4/7/2019
Claim-000788,Reimbursement-000339,1142064,1/21/2019
Claim-0001227,Reimbursement-00038,1198388.52,12/21/2019
Claim-0002043,Reimbursement-0001481,913651.2,2/6/2019
Claim-000789,Reimbursement-0002084,875365.92,3/12/2020
Claim-000791,Reimbursement-0002177,953280,2/3/2019
Claim-0002645,Reimbursement-0003324,1202562.72,4/10/2021
Claim-000794,Reimbursement-0001755,1101085.92,9/18/2019
Claim-0001868,Reimbursement-000871,885186.72,6/17/2020
Claim-000800,Reimbursement-0003524,865264.68,12/23/2018
Claim-0003301,Reimbursement-0001521,1063141.2,3/10/2019
Claim-000826,Reimbursement-0002809,932536.8,7/9/2019
Claim-0001336,Reimbursement-000140,1096727.04,7/1/2021
Claim-0001899,Reimbursement-0003019,1256666.4,9/26/2020
Claim-0001917,Reimbursement-000897,1155708,9/29/2019
Claim-0002931,Reimbursement-000234,1372502.88,2/5/2019
Claim-0003261,Reimbursement-0002337,958573.44,5/8/2020
Claim-0003445,Reimbursement-0002030,945820.8,4/11/2021
Claim-0003503,Reimbursement-0001180,1011443.76,5/4/2019
